,BenTre,VungTau,BacLieu,TienGiang,KienGiang,DaLat,HoChiMinh
Giai8,89,8,43,2,90,19,55
Giai7,124,440,680,97,956,895,177
Giai6,563,31,593,249,470,265,572
Giai6,968,407,994,977,52,814,499
Giai6,57,135,137,385,4,774,53
Giai5,979,81,703,204,468,811,961
Giai4,753,871,333,941,788,530,62
Giai4,311,707,776,703,3,179,327
Giai4,253,293,651,2,239,626,288
Giai4,784,984,994,845,867,284,854
Giai4,971,483,295,858,100,576,935
Giai4,735,308,760,260,585,946,253
Giai4,842,836,340,154,378,230,684
Giai3,52,232,885,448,378,307,53
Giai3,59,118,990,52,302,107,425
Giai2,847,899,180,922,133,894,518
Giai1,565,536,519,703,354,784,386
DacBiet,960,163,713,813,634,922,358
